date,industry,filled_jobs
2019-05-01,accommodation_and_food_services,146901.0
2019-05-01,administrative_and_support_services,111136.0
2019-05-01,agriculture_forestry_and_fishing,96007.0
2019-05-01,arts_and_recreation_services,40709.0
2019-05-01,construction,171566.0
2019-05-01,education_and_training,197811.0
2019-05-01,electricity_gas_water_and_waste_services,19016.0
2019-05-01,financial_and_insurance_services,62940.0
2019-05-01,health_care_and_social_assistance,234321.0
2019-05-01,information_media_and_telecommunications,32985.0
2019-05-01,manufacturing,232878.0
2019-05-01,mining,5624.0
2019-05-01,other_services,71800.0
2019-05-01,professional_scientific_and_technical_services,169464.0
2019-05-01,public_administration_and_safety,133655.0
2019-05-01,rental_hiring_and_real_estate_services,34062.0
2019-05-01,retail_trade,204776.0
2019-05-01,transport_postal_and_warehousing,93421.0
2019-05-01,wholesale_trade,112355.0
2019-06-01,accommodation_and_food_services,144688.0
2019-06-01,administrative_and_support_services,105300.0
2019-06-01,agriculture_forestry_and_fishing,92219.0
2019-06-01,arts_and_recreation_services,41343.0
2019-06-01,construction,171815.0
2019-06-01,education_and_training,199098.0
2019-06-01,electricity_gas_water_and_waste_services,19053.0
2019-06-01,financial_and_insurance_services,62836.0
2019-06-01,health_care_and_social_assistance,234482.0
2019-06-01,information_media_and_telecommunications,31368.0
2019-06-01,manufacturing,227383.0
2019-06-01,mining,5667.0
2019-06-01,other_services,72078.0
2019-06-01,professional_scientific_and_technical_services,169097.0
2019-06-01,public_administration_and_safety,135172.0
2019-06-01,rental_hiring_and_real_estate_services,33968.0
2019-06-01,retail_trade,204673.0
2019-06-01,transport_postal_and_warehousing,96036.0
2019-06-01,wholesale_trade,111690.0
2019-07-01,accommodation_and_food_services,144510.0
2019-07-01,administrative_and_support_services,100245.0
2019-07-01,agriculture_forestry_and_fishing,92710.0
2019-07-01,arts_and_recreation_services,41667.0
2019-07-01,construction,171966.0
2019-07-01,education_and_training,197483.0
2019-07-01,electricity_gas_water_and_waste_services,19217.0
2019-07-01,financial_and_insurance_services,63008.0
2019-07-01,health_care_and_social_assistance,235259.0
2019-07-01,information_media_and_telecommunications,31232.0
2019-07-01,manufacturing,225474.0
2019-07-01,mining,5790.0
2019-07-01,other_services,72182.0
2019-07-01,professional_scientific_and_technical_services,168465.0
2019-07-01,public_administration_and_safety,136117.0
2019-07-01,rental_hiring_and_real_estate_services,34127.0
2019-07-01,retail_trade,204796.0
2019-07-01,transport_postal_and_warehousing,95614.0
2019-07-01,wholesale_trade,111124.0
2019-08-01,accommodation_and_food_services,145570.0
2019-08-01,administrative_and_support_services,100255.0
2019-08-01,agriculture_forestry_and_fishing,93407.0
2019-08-01,arts_and_recreation_services,41709.0
2019-08-01,construction,171748.0
2019-08-01,education_and_training,199676.0
2019-08-01,electricity_gas_water_and_waste_services,19296.0
2019-08-01,financial_and_insurance_services,63218.0
2019-08-01,health_care_and_social_assistance,234704.0
2019-08-01,information_media_and_telecommunications,32614.0
2019-08-01,manufacturing,227200.0
2019-08-01,mining,5761.0
2019-08-01,other_services,72005.0
2019-08-01,professional_scientific_and_technical_services,168916.0
2019-08-01,public_administration_and_safety,134942.0
2019-08-01,rental_hiring_and_real_estate_services,33603.0
2019-08-01,retail_trade,204963.0
2019-08-01,transport_postal_and_warehousing,92442.0
2019-08-01,wholesale_trade,110744.0
2019-09-01,accommodation_and_food_services,147165.0
2019-09-01,administrative_and_support_services,100575.0
2019-09-01,agriculture_forestry_and_fishing,94106.0
2019-09-01,arts_and_recreation_services,41736.0
2019-09-01,construction,172541.0
2019-09-01,education_and_training,203063.0
2019-09-01,electricity_gas_water_and_waste_services,19423.0
2019-09-01,financial_and_insurance_services,63295.0
2019-09-01,health_care_and_social_assistance,237575.0
2019-09-01,information_media_and_telecommunications,31490.0
2019-09-01,manufacturing,226052.0
2019-09-01,mining,5776.0
2019-09-01,other_services,72778.0
2019-09-01,professional_scientific_and_technical_services,166432.0
2019-09-01,public_administration_and_safety,137651.0
2019-09-01,rental_hiring_and_real_estate_services,33981.0
2019-09-01,retail_trade,205656.0
2019-09-01,transport_postal_and_warehousing,95911.0
2019-09-01,wholesale_trade,110190.0
2019-10-01,accommodation_and_food_services,148988.0
2019-10-01,administrative_and_support_services,100381.0
2019-10-01,agriculture_forestry_and_fishing,97250.0
2019-10-01,arts_and_recreation_services,42295.0
2019-10-01,construction,173868.0
2019-10-01,education_and_training,199519.0
2019-10-01,electricity_gas_water_and_waste_services,19492.0
2019-10-01,financial_and_insurance_services,61343.0
2019-10-01,health_care_and_social_assistance,238729.0
2019-10-01,information_media_and_telecommunications,32515.0
2019-10-01,manufacturing,230193.0
2019-10-01,mining,5625.0
2019-10-01,other_services,72672.0
2019-10-01,professional_scientific_and_technical_services,167921.0
2019-10-01,public_administration_and_safety,137217.0
2019-10-01,rental_hiring_and_real_estate_services,34877.0
2019-10-01,retail_trade,208170.0
2019-10-01,transport_postal_and_warehousing,93824.0
2019-10-01,wholesale_trade,111962.0
2019-11-01,accommodation_and_food_services,153210.0
2019-11-01,administrative_and_support_services,103510.0
2019-11-01,agriculture_forestry_and_fishing,105864.0
2019-11-01,arts_and_recreation_services,43048.0
2019-11-01,construction,175956.0
2019-11-01,education_and_training,201389.0
2019-11-01,electricity_gas_water_and_waste_services,19659.0
2019-11-01,financial_and_insurance_services,61453.0
2019-11-01,health_care_and_social_assistance,240725.0
2019-11-01,information_media_and_telecommunications,32243.0
2019-11-01,manufacturing,235073.0
2019-11-01,mining,5620.0
2019-11-01,other_services,73553.0
2019-11-01,professional_scientific_and_technical_services,170455.0
2019-11-01,public_administration_and_safety,138621.0
2019-11-01,rental_hiring_and_real_estate_services,35647.0
2019-11-01,retail_trade,212947.0
2019-11-01,transport_postal_and_warehousing,95223.0
2019-11-01,wholesale_trade,114064.0
2019-12-01,accommodation_and_food_services,154641.0
2019-12-01,administrative_and_support_services,103044.0
2019-12-01,agriculture_forestry_and_fishing,112040.0
2019-12-01,arts_and_recreation_services,43763.0
2019-12-01,construction,176266.0
2019-12-01,education_and_training,201978.0
2019-12-01,electricity_gas_water_and_waste_services,19760.0
2019-12-01,financial_and_insurance_services,61617.0
2019-12-01,health_care_and_social_assistance,240770.0
2019-12-01,information_media_and_telecommunications,32076.0
2019-12-01,manufacturing,238109.0
2019-12-01,mining,5614.0
2019-12-01,other_services,73853.0
2019-12-01,professional_scientific_and_technical_services,171211.0
2019-12-01,public_administration_and_safety,139939.0
2019-12-01,rental_hiring_and_real_estate_services,36188.0
2019-12-01,retail_trade,219592.0
2019-12-01,transport_postal_and_warehousing,95558.0
2019-12-01,wholesale_trade,114675.0
2020-01-01,accommodation_and_food_services,149894.0
2020-01-01,administrative_and_support_services,98014.0
2020-01-01,agriculture_forestry_and_fishing,108667.0
2020-01-01,arts_and_recreation_services,41787.0
2020-01-01,construction,172636.0
2020-01-01,education_and_training,188320.0
2020-01-01,electricity_gas_water_and_waste_services,19785.0
2020-01-01,financial_and_insurance_services,61470.0
2020-01-01,health_care_and_social_assistance,236795.0
2020-01-01,information_media_and_telecommunications,31812.0
2020-01-01,manufacturing,234708.0
2020-01-01,mining,5695.0
2020-01-01,other_services,72007.0
2020-01-01,professional_scientific_and_technical_services,168783.0
2020-01-01,public_administration_and_safety,139033.0
2020-01-01,rental_hiring_and_real_estate_services,35494.0
