date,totals,annual_change,skilledindex,unskilledindex,auckland,wellington,north_island_other,canterbury,south_island_other,business_services,construction,education,health_care,hospitality,it,manufacturing,primary,sales,other,managers,professionals,technicians_and_trades_workers,community_and_personal_service_workers,clerical_and_administrative_workers,sales_workers,machinery_operators_and_drivers,labourers,highly_skilled,skilled,semi_skilled,low_skilled,unskilled,region,filled_jobs
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,auckland,722233.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,bay_of_plenty,134343.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,canterbury,283557.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,gisborne,21238.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,hawke's_bay,75388.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,manawatu_whanganui,104324.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,marlborough,25688.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,nelson,19965.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,northland,67000.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,otago,107334.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,southland,47008.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,taranaki,51110.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,tasman,23199.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,waikato,201309.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,wellington,240322.0
2019-05-01,157.8,1.4,158.3,153.0,125.8,116.8,272.1,211.9,327.4,87.4,276.7,170.1,284.4,221.6,77.2,269.4,386.9,144.9,325.3,169.8,131.7,237.4,281.6,94.7,108.3,356.1,432.4,144.7,145.4,305.3,138.2,203.9,west_coast,14348.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,auckland,723890.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,bay_of_plenty,132322.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,canterbury,283557.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,gisborne,21152.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,hawke's_bay,73479.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,manawatu_whanganui,104427.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,marlborough,25602.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,nelson,19753.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,northland,66606.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,otago,106863.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,southland,45791.0
2019-06-01,131.9,-5.2,134.0,124.3,106.3,99.0,223.1,175.3,267.6,74.6,233.6,152.7,237.2,189.5,63.8,224.2,294.0,117.9,261.7,142.3,109.6,207.7,231.4,79.8,87.8,289.1,346.7,119.6,128.6,266.5,113.8,160.5,taranaki,50887.0
