unemployment_rate,underutilisation_rate,date,male_paid_employee,male_employer,male_self_employed_no_employees,male_unpaid_family_worker,male_not_specified,male_total_all_employment_status,female_paid_employee,female_employer,female_self_employed_no_employees,female_unpaid_family_worker,female_not_specified,female_total_all_employment_status,total_both_sexes_paid_employee,total_both_sexes_employer,total_both_sexes_self_employed_no_employees,total_both_sexes_unpaid_family_worker,total_both_sexes_not_specified,total_both_sexes_total_all_employment_status,male_persons_underemployed_and_actively_seeking_more_hours,male_persons_underemployed_and_not_actively_seeking_more_hours,male_persons_underemployed,male_persons_employed_part_time,male_persons_employed_in_labour_force,male_part_time_employment_rate,male_underemployment_to_part_time_ratio,male_underemployment_rate,female_persons_underemployed_and_actively_seeking_more_hours,female_persons_underemployed_and_not_actively_seeking_more_hours,female_persons_underemployed,female_persons_employed_part_time,female_persons_employed_in_labour_force,female_part_time_employment_rate,female_underemployment_to_part_time_ratio,female_underemployment_rate,total_both_sexes_persons_underemployed_and_actively_seeking_more_hours,total_both_sexes_persons_underemployed_and_not_actively_seeking_more_hours,total_both_sexes_persons_underemployed,total_both_sexes_persons_employed_part_time,total_both_sexes_persons_employed_in_labour_force,total_both_sexes_part_time_employment_rate,total_both_sexes_underemployment_to_part_time_ratio,total_both_sexes_underemployment_rate
4.1,9.0,2006-03-01,879.9,86.2,168.2,5.4,0.0,1139.8,854.8,36.1,79.1,9.7,0.0,979.8,1734.8,122.3,247.2,15.1,0.0,2119.6,12.2,4.6,16.8,105.2,1139.8,9.2,15.9,1.5,22.6,11.4,34.0,338.7,979.8,34.6,10.0,3.5,34.8,16.0,50.8,443.9,2119.6,20.9,11.4,2.4
3.7,8.6,2006-06-01,898.2,85.0,151.5,6.0,1.1,1141.8,864.2,37.5,74.2,11.2,1.5,988.6,1762.4,122.5,225.7,17.1,2.7,2130.4,13.2,6.4,19.6,118.4,1141.8,10.4,16.6,1.7,23.5,10.7,34.3,346.1,988.6,35.0,9.9,3.5,36.7,17.1,53.9,464.5,2130.4,21.8,11.6,2.5
3.9,8.8,2006-09-01,880.8,83.6,169.1,5.6,0.0,1139.5,855.4,33.9,83.2,10.9,0.0,984.1,1736.2,117.5,252.3,16.5,1.2,2123.6,11.9,6.0,18.0,121.1,1139.5,10.6,14.9,1.6,23.9,10.7,34.7,336.4,984.1,34.2,10.3,3.5,35.8,16.8,52.7,457.4,2123.6,21.5,11.5,2.5
3.8,10.4,2006-12-01,909.7,73.3,165.2,10.8,2.0,1161.1,869.3,26.9,74.7,18.6,1.5,991.0,1779.1,100.2,239.9,29.4,3.5,2152.1,19.2,8.3,27.5,118.9,1161.1,10.2,23.1,2.4,32.0,17.9,49.9,342.2,991.0,34.5,14.6,5.0,51.2,26.3,77.5,461.1,2152.1,21.4,16.8,3.6
3.9,9.9,2007-03-01,911.6,82.1,157.0,7.0,0.0,1158.5,875.4,31.1,75.2,16.7,0.0,999.3,1787.0,113.2,232.1,23.7,1.9,2157.8,14.7,7.5,22.1,121.5,1158.5,10.5,18.2,1.9,27.0,15.6,42.6,336.7,999.3,33.7,12.7,4.3,41.7,23.1,64.8,458.2,2157.8,21.2,14.1,3.0
3.6,9.8,2007-06-01,910.5,78.8,154.3,9.3,2.5,1155.4,874.1,30.0,81.3,18.6,0.0,1005.1,1784.6,108.8,235.6,28.0,3.4,2160.5,12.9,7.4,20.3,131.7,1155.4,11.4,15.4,1.8,28.4,19.0,47.5,356.5,1005.1,35.5,13.3,4.7,41.3,26.4,67.8,488.1,2160.5,22.6,13.9,3.1
3.6,9.0,2007-09-01,912.3,82.8,153.6,8.2,0.0,1157.5,869.4,36.1,78.5,12.3,0.0,997.0,1781.7,118.9,232.0,20.6,1.3,2154.6,15.2,7.4,22.8,133.4,1157.5,11.5,17.1,2.0,28.9,12.1,41.0,357.2,997.0,35.8,11.5,4.1,44.1,19.6,63.8,490.7,2154.6,22.8,13.0,3.0
3.4,9.2,2007-12-01,920.0,86.3,152.2,10.3,1.6,1170.3,896.8,31.6,84.7,13.6,1.0,1027.7,1816.8,117.9,236.9,23.9,2.6,2198.1,15.9,8.7,24.6,131.3,1170.3,11.2,18.7,2.1,30.9,13.7,45.0,353.7,1027.7,34.4,12.7,4.4,46.8,22.4,69.6,485.0,2198.1,22.1,14.3,3.2
3.8,10.3,2008-03-01,886.7,89.7,164.6,8.6,0.0,1150.3,862.2,37.2,82.9,12.1,1.2,995.5,1748.9,126.9,247.5,20.7,1.8,2145.8,13.3,8.9,22.2,120.7,1150.3,10.5,18.4,1.9,29.1,16.4,45.8,340.3,995.5,34.2,13.4,4.6,42.3,25.3,68.0,461.0,2145.8,21.5,14.7,3.2
3.8,10.0,2008-06-01,903.7,75.6,164.7,8.3,2.1,1154.4,886.6,31.0,85.5,13.2,1.1,1017.4,1790.3,106.7,250.2,21.5,3.2,2171.9,13.5,7.2,20.8,140.2,1154.4,12.1,14.8,1.8,25.6,18.4,44.0,358.3,1017.4,35.2,12.3,4.3,39.1,25.6,64.8,498.5,2171.9,23.0,13.0,3.0
